K1;0.72;103.28
K2;19.77;103.28
K3;38.82;103.28
K4;62.63;103.28
K5;100.73;103.28
K6;119.78;103.28
K7;138.83;103.28
K8;157.88;103.28
K9;186.46;103.28
K10;205.51;103.28
K11;224.56;103.28
K12;243.61;103.28
K13;272.18;103.28
K14;291.23;103.28
K15;310.28;103.28
K16;329.33;103.28
K17;353.15;103.28
K18;372.2;103.28
K19;0.72;79.47
K20;19.77;79.47
K21;38.82;79.47
K22;62.63;79.47
K23;81.68;79.47
K24;100.73;79.47
K25;119.78;79.47
K26;138.83;79.47
K27;157.88;79.47
K28;176.93;79.47
K29;195.98;79.47
K30;215.03;79.47
K31;234.08;79.47
K32;253.13;79.47
K33;272.18;79.47
K34;291.23;79.47
K35;319.81;79.47
K36;353.15;79.47
K37;372.2;79.47
K38;0.72;60.42
K39;19.77;60.42
K40;38.82;60.42
K41;67.4;60.42
K42;91.21;60.42
K43;110.26;60.42
K44;129.31;60.42
K45;148.36;60.42
K46;167.41;60.42
K47;186.46;60.42
K48;205.51;60.42
K49;224.56;60.42
K50;243.61;60.42
K51;262.66;60.42
K52;281.71;60.42
K53;300.76;60.42
K54;326.95;50.89
K55;353.15;60.42
K56;372.2;60.42
K57;0.72;41.37
K58;19.77;41.37
K59;38.82;41.37
K60;69.78;41.37
K61;95.97;41.37
K62;115.02;41.37
K63;134.07;41.37
K64;153.12;41.37
K65;172.17;41.37
K66;191.22;41.37
K67;210.27;41.37
K68;229.32;41.37
K69;248.37;41.37
K70;267.42;41.37
K71;286.47;41.37
K72;305.52;41.37
K73;353.15;41.37
K74;372.2;41.37
K75;0.72;22.32
K76;19.77;22.32
K77;38.82;22.32
K78;65.01;22.32
K79;86.45;22.32
K80;105.5;22.32
K81;124.55;22.32
K82;143.6;22.32
K83;162.65;22.32
K84;181.7;22.32
K85;200.75;22.32
K86;219.8;22.32
K87;238.85;22.32
K88;257.9;22.32
K89;276.95;22.32
K90;312.66;22.32
K91;353.15;22.32
K92;0.72;3.27
K93;19.77;3.27
K94;38.82;3.27
K95;65.01;3.27
K96;88.83;3.27
K97;112.64;3.27
K98;184.08;3.27
K99;255.51;3.27
K100;279.33;3.27
K101;303.14;3.27
K102;334.1;3.27
K103;353.15;3.27
K104;372.2;3.27
